Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867161033234622,0.7778733536272833,5,1,0.16,0.236,0.198,15,180.0,5.701726323445186,3.6160109764088553,0.001593943959086979,2.6740981894390936,0.00039024417489592065,3.6620421718147282,0.0003749020796492433,2.6660507150517514,9.423497623430033e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156296200455567,0.7792421228397913,5,2,0.236,0.272,0.254,15,180.0,9.041629101333134,3.774916123423979,0.0019340135075429365,2.634962376230666,0.0004912224019088735,3.8362225204696045,0.0004146628753987112,2.62182415872994,0.00010819635587362863
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29346512916954154,0.7797693340533258,5,3,0.272,0.308,0.29,15,180.0,10.929041451517625,3.843899398965449,0.0023578928481080303,2.6180387927412156,0.0005902527125023919,3.9311550675188958,0.0004971475700431672,2.597687272601565,0.00012782122762412741
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29486912665514153,0.7801707927469836,5,4,0.308,0.354,0.331,15,180.0,13.033457414307017,3.8862418731587502,0.0024976198653117233,2.607281392335315,0.0006254894685835874,3.978767077746222,0.0005338356951769742,2.585669626074202,0.00013570823592457174
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29531020200901437,0.7802547107406149,5,5,0.354,0.5,0.427,15,180.0,17.3617035624712,3.9286576284200536,0.002306574125626784,2.5977325449397384,0.0005748338387066967,4.017125464893512,0.0004844105476223895,2.576958649753866,0.00012284913812780728
