Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.122798906963613,0.10754152870023426
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,1.1770797977631051,0.13364256110068606
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.025487365459445,0.09359309527193782
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9841724834241522,0.08123866549354795
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.8716495622167016,0.0722500635669139
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,1.053977133180692,0.07346186376006958
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,1.0692147155160683,0.07442095575818912
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9871058694672645,0.06468029698198673
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0958045745268628,0.06955796249869887
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.0152956003344749,0.07161381895002461
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.0337324002418415,0.08288217307008364
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.9985088271040377,0.08215239908291413
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.9091659746136471,0.08553661200403402
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.9260723818102046,0.09913193949282496
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,0.979433714692224,0.11166354470479829
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.0027626051588976,0.12355458568827299
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.150603919640967,0.11369175525123776
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.0351945018869038,0.11233335604115617
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,1.0247100815568377,0.08699603441761915
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.9692093021678065,0.07999365272772259
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.0934143685565056,0.06618637536335849
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,1.0796695004137526,0.07118163260623134
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.1614329815248077,0.07858183660894728
