Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,5,1,0.16,0.236,0.198,15,180.0,5.683931885861791,3.6167965298422295,0.001608339268073402,2.673728053884217,0.00039288144959785854,3.6777647867773773,0.0003726825472255462,2.6615664923272373,9.4837307829441e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,5,2,0.236,0.27,0.253,15,180.0,9.006074390915341,3.771121943375546,0.0020096120528731256,2.6359645882121763,0.000507111981445416,3.8299612230352813,0.00041694773946147955,2.622552745723516,0.00010894645820329491
Q3p85_W2p62_t0p21,6.39566,10.557302,5,3,0.27,0.308,0.289,15,180.0,10.951228131615357,3.834739267683633,0.002307817204230844,2.620239912884616,0.000575758731800245,3.9127234190703475,0.0004624259326265177,2.6014247556184484,0.0001193326897281417
Q3p85_W2p62_t0p21,6.39566,10.557302,5,4,0.308,0.354,0.331,15,180.0,13.10412273237963,3.877835176082741,0.002549129499318953,2.6094061305116423,0.0006373195888179888,3.9523695220149677,0.0004965045381119251,2.591448902152662,0.00012667179138688543
Q3p85_W2p62_t0p21,6.39566,10.557302,5,5,0.354,0.5,0.427,15,180.0,17.424130684459772,3.9188785206572945,0.0023608243120789565,2.6002527698011915,0.0005878748999226664,3.995980384032266,0.00046021418188899483,2.581971920167658,0.00011709470101221938
