Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.6096780650840585,0.03914651991608678
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.6219187389590352,0.04110519640409486
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.7341071003057196,0.048951601667157486
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.6859360403705222,0.044040575118432485
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.6754548581060175,0.04324095626259445
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.600739117721542,0.038642642162260946
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.6522988623059559,0.039400155004584096
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.6515352871249797,0.04922716814591971
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.659803616693999,0.038410938323642264
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.6353219789041009,0.04029088939018532
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.659313458091049,0.04235738408683016
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,0.745627598643984,0.04691129500324211
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.675593734868024,0.0502824312528135
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.7488211634611678,0.04576836922889937
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.657191285317429,0.04285874535279149
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,1,0,24,0.2596533074624409,0.025938243225262538
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,2,24,48,0.32848320658074975,0.023304089730140774
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,3,48,72,0.35035732093358657,0.02485628485691131
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,4,72,96,0.3351147537197279,0.028996740142324257
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,5,96,120,0.38679585237647407,0.028118904589841714
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,6,120,144,0.3540218208008505,0.02449816084067224
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,7,144,168,0.36060425915155186,0.02489732237332281
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,8,168,192,0.31328883307585265,0.023596957466971717
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,9,192,216,0.322278856240566,0.02353530751855047
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,10,216,240,0.32701941251678535,0.023833592616801187
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,11,240,264,0.3990493174669654,0.027092400003279553
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,12,264,288,0.3867930068600164,0.035187213192330404
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,13,288,312,0.4246655147142562,0.030199221435120053
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,14,312,336,0.3280296910617861,0.025806630928468115
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,15,336,360,0.29973773464599507,0.02356701986947193
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,1,0,24,0.22921462962521355,0.016656217022774592
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,2,24,48,0.24668311459039285,0.016940681087169125
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,3,48,72,0.26382695753385893,0.016243148883584874
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,4,72,96,0.25154603400572745,0.018054077451159552
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,5,96,120,0.25527603694502915,0.01686588650221096
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,6,120,144,0.25505496321978716,0.01691979819932407
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,7,144,168,0.25464944600112766,0.016811622235404895
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,8,168,192,0.21871587399385597,0.018759518339572533
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,9,192,216,0.22279812517335826,0.015608981510128603
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,10,216,240,0.24268386540176268,0.01618209280064087
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,11,240,264,0.25668748953632753,0.018234622150142932
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,12,264,288,0.28491464490126456,0.01969885752287578
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,13,288,312,0.23834084193247043,0.015105488456088553
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,14,312,336,0.22322453259943922,0.020762472840081984
Q3p85_W2p62_t0p21_higheps,3,0.27,0.308,15,336,360,0.23837025641098245,0.017850468953847433
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.1129538037351542,0.009050507652083177
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,0.14090593627582604,0.010629682053597976
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,0.16040226904502286,0.010364020032552363
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.16168105605768318,0.011097177121782058
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.17105224238438535,0.011107096616897481
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.1488278970192982,0.009950911678402308
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.14797437415691256,0.010180661485277609
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,8,168,192,0.15826018871298658,0.011779849036386802
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,9,192,216,0.15254973625323995,0.010130469233748145
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,10,216,240,0.17464940777653754,0.012586967809505379
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,11,240,264,0.19570323388842162,0.01262130860518719
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,12,264,288,0.18872642482271101,0.011772559524602728
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,13,288,312,0.1627954801411482,0.0106039512936027
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,0.14498705489694547,0.010700488442043606
