Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,14,312,336,0.7518553207971505,0.08442007321638455
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,15,336,360,0.7990513550050597,0.11048702926631639
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,1,0,24,0.931269551648992,0.14801759349680316
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,2,24,48,0.8750525059086622,0.11960446059919218
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,3,48,72,0.8636028450021102,0.09546166210011627
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,4,72,96,0.7993096943464637,0.07228016959917578
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,5,96,120,0.7604546355451073,0.061312152274054656
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,6,120,144,0.8867768822961543,0.06358706309724266
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,7,144,168,0.9353845377873603,0.0747351902879398
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,8,168,192,1.0071923225890347,0.07652086491806741
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,9,192,216,1.0086517886954889,0.07518338414405976
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,10,216,240,0.9624010582321229,0.06844855259708547
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,11,240,264,0.8190483084084329,0.0654844130098504
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,12,264,288,0.7602925599259518,0.07369504710294537
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,13,288,312,0.9624489388878537,0.08604625773383343
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,14,312,336,0.8907175510086035,0.11156624143407025
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,15,336,360,1.2029724388422611,0.16720134419355204
