t_central,theta_cm,Q2,W,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.7,3.61601,2.6741,0.5296078776249898,0.028882981621741258,0.3226665088563877,0.013715259424079952,-0.06870118773699753,0.008550747391888667,-0.008223219944993383,0.019531142194822725
0.254,9.04,3.77492,2.63496,0.17924053186445948,0.022736267168782267,0.35182419309886864,0.011188261461371984,-0.034699647164489096,0.006269561538477651,-0.07334516350259081,0.015192286789045452
0.29,10.93,3.8439,2.61804,0.19848862897122904,0.019982528729859873,0.2781941379406545,0.009948570646217942,-0.005717836145378108,0.005494045274958947,-0.05728477961640066,0.013222385430399339
0.331,13.03,3.88624,2.60728,0.10455553950993145,0.017277056011277617,0.2761041259637802,0.0093507997914353,0.01294962525123973,0.004535179977693621,-0.06290642656685996,0.010709731150684085
0.427,17.36,3.92866,2.59773,0.0867457497219031,0.011457372241015892,0.20513002470684671,0.00672966668701399,0.006014292457006702,0.0029428865969012073,-0.07315961222763669,0.006667715576318891
