Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.668181,0.000432,2.665071,0.000109,0.285133,0.000029,0.019609,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.839644,0.000517,2.620952,0.000136,0.291573,0.000036,0.025499,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.937643,0.000670,2.595649,0.000175,0.294994,0.000039,0.029605,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.001798,0.000797,2.579297,0.000206,0.296996,0.000042,0.034258,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.087486,0.000857,2.557519,0.000218,0.299630,0.000043,0.039537,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.653380,0.000924,2.665522,0.000245,0.287143,0.000067,0.025779,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.792474,0.000769,2.631108,0.000204,0.291307,0.000051,0.030182,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.861998,0.000773,2.613948,0.000201,0.293159,0.000043,0.036455,0.000042
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.890191,0.000709,2.607228,0.000183,0.293689,0.000037,0.044587,0.000036
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.927863,0.000600,2.600465,0.000156,0.292736,0.000031,0.054517,0.000032
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.553939,0.001731,2.688635,0.000399,0.777412,0.000035,0.023376,0.000102
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.700255,0.002209,2.654126,0.000520,0.778310,0.000048,0.033313,0.000112
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.773553,0.002270,2.635885,0.000542,0.778952,0.000047,0.039698,0.000110
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.840729,0.002195,2.619388,0.000530,0.779452,0.000043,0.046335,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.942061,0.001575,2.594344,0.000385,0.780199,0.000027,0.059212,0.000078
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.625720,0.001578,2.670289,0.000375,0.778227,0.000034,0.020617,0.000090
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.795414,0.002049,2.630310,0.000494,0.779158,0.000041,0.027363,0.000113
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.874133,0.002530,2.611110,0.000616,0.779676,0.000042,0.032635,0.000136
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.925793,0.002728,2.598471,0.000668,0.780005,0.000042,0.039295,0.000149
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,3.959786,0.002169,2.590527,0.000533,0.780133,0.000032,0.054706,0.000133
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.614946,0.003783,2.669450,0.000959,0.779028,0.000087,0.028406,0.000197
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.746433,0.002894,2.640312,0.000704,0.779284,0.000057,0.032519,0.000150
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.826401,0.002807,2.621638,0.000680,0.779615,0.000045,0.038029,0.000139
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.857654,0.002553,2.614428,0.000620,0.779693,0.000037,0.045984,0.000121
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.864621,0.001816,2.613974,0.000442,0.779419,0.000026,0.060023,0.000093
