Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
8.3823e-08,4.4346e-09,4.2756e-07,0.29497,17.42,60.0,0.427,2.60025,3.91888
7.4462e-08,6.3756e-09,4.0495e-07,0.29497,17.42,84.0,0.427,2.60025,3.91888
8.6016e-08,5.7784e-09,3.8149e-07,0.29497,17.42,108.0,0.427,2.60025,3.91888
7.7301e-08,8.0774e-09,3.6119e-07,0.29497,17.42,132.0,0.427,2.60025,3.91888
1.0447e-07,1.3861e-08,3.475e-07,0.29497,17.42,156.0,0.427,2.60025,3.91888
1.1075e-07,1.6986e-08,3.4266e-07,0.29497,17.42,180.0,0.427,2.60025,3.91888
1.0381e-07,1.4421e-08,3.475e-07,0.29497,17.42,204.0,0.427,2.60025,3.91888
8.8931e-08,9.3889e-09,3.6119e-07,0.29497,17.42,228.0,0.427,2.60025,3.91888
7.3963e-08,5.2981e-09,3.8149e-07,0.29497,17.42,252.0,0.427,2.60025,3.91888
8.4055e-08,6.1428e-09,4.0495e-07,0.29497,17.42,276.0,0.427,2.60025,3.91888
7.347e-08,4.2516e-09,4.2756e-07,0.29497,17.42,300.0,0.427,2.60025,3.91888
7.8418e-08,3.9274e-09,4.4533e-07,0.29497,17.42,324.0,0.427,2.60025,3.91888
1.0476e-07,5.448e-09,4.551e-07,0.29497,17.42,348.0,0.427,2.60025,3.91888
