Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
6.9901e-08,3.6172e-09,1.0995e-06,0.78016,17.42,60.0,0.427,2.60025,3.91888
7.5281e-08,3.4952e-09,1.0563e-06,0.78016,17.42,84.0,0.427,2.60025,3.91888
7.192e-08,3.4778e-09,1.0116e-06,0.78016,17.42,108.0,0.427,2.60025,3.91888
6.8878e-08,3.3208e-09,9.73e-07,0.78016,17.42,132.0,0.427,2.60025,3.91888
6.3494e-08,3.9131e-09,9.4702e-07,0.78016,17.42,156.0,0.427,2.60025,3.91888
6.7067e-08,4.4661e-09,9.3787e-07,0.78016,17.42,180.0,0.427,2.60025,3.91888
7.5019e-08,4.2076e-09,9.4702e-07,0.78016,17.42,204.0,0.427,2.60025,3.91888
6.4123e-08,3.1885e-09,9.73e-07,0.78016,17.42,228.0,0.427,2.60025,3.91888
7.6903e-08,3.7529e-09,1.0116e-06,0.78016,17.42,252.0,0.427,2.60025,3.91888
7.818e-08,3.5787e-09,1.0563e-06,0.78016,17.42,276.0,0.427,2.60025,3.91888
6.919e-08,3.5623e-09,1.0995e-06,0.78016,17.42,300.0,0.427,2.60025,3.91888
8.0374e-08,4.5873e-09,1.1335e-06,0.78016,17.42,324.0,0.427,2.60025,3.91888
9.2816e-08,7.372e-09,1.1522e-06,0.78016,17.42,348.0,0.427,2.60025,3.91888
