Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.671664,0.000440,2.664384,0.000110,0.285105,0.000029,0.019127,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856895,0.000516,2.616663,0.000136,0.292093,0.000036,0.024557,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.966364,0.000669,2.588439,0.000173,0.295853,0.000039,0.028349,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.037814,0.000798,2.570338,0.000205,0.297959,0.000041,0.033119,0.000044
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.120082,0.000843,2.549575,0.000213,0.300335,0.000041,0.038827,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.660596,0.000939,2.663674,0.000249,0.287419,0.000068,0.025221,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.820388,0.000776,2.624061,0.000206,0.292239,0.000052,0.028551,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.912040,0.000799,2.601381,0.000207,0.294696,0.000044,0.033733,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.956132,0.000752,2.590732,0.000193,0.295616,0.000038,0.041228,0.000040
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.002623,0.000633,2.581204,0.000164,0.295328,0.000032,0.050931,0.000036
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.534327,0.001774,2.693019,0.000410,0.777342,0.000034,0.023360,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.691969,0.002284,2.656050,0.000537,0.778265,0.000049,0.033278,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.776304,0.002320,2.635323,0.000552,0.778942,0.000047,0.039405,0.000111
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.855678,0.002227,2.615980,0.000537,0.779496,0.000043,0.045777,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.975459,0.001594,2.586454,0.000390,0.780350,0.000027,0.058253,0.000078
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605242,0.001665,2.674919,0.000396,0.778146,0.000034,0.020340,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.796205,0.002140,2.629912,0.000515,0.779212,0.000041,0.026788,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.894114,0.002610,2.606135,0.000634,0.779836,0.000042,0.031330,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.969424,0.002797,2.587740,0.000685,0.780309,0.000041,0.037382,0.000150
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.023507,0.002218,2.574943,0.000546,0.780548,0.000032,0.051971,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.604193,0.003934,2.671819,0.000998,0.779000,0.000087,0.028463,0.000202
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.758369,0.003006,2.637280,0.000730,0.779399,0.000058,0.031511,0.000156
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.870152,0.003000,2.611003,0.000726,0.779904,0.000046,0.035332,0.000150
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.940602,0.002821,2.594390,0.000686,0.780192,0.000039,0.041594,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.980595,0.001984,2.585560,0.000486,0.780227,0.000028,0.054783,0.000109
