t_central,theta_cm,Q2,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.68,3.6168,0.6315037717385987,0.02934427977922707,0.26716263405430346,0.013735858769512176,0.129871987901089,0.008124182478595528,0.018501242426697144,0.019158194056440075
0.253,9.01,3.77112,0.2759136827450407,0.028659616621239874,0.3962946120446249,0.014283201808023128,0.1173530359017081,0.007784025885991051,-0.02489148959134956,0.018610716037601314
0.289,10.95,3.83474,0.28967525274351136,0.02548911324521068,0.35068047136157887,0.013014481858407517,0.10910737290038558,0.007137887530660634,-0.017313904441631823,0.01659109467248915
0.331,13.1,3.87784,0.12215441232786378,0.02481441358080281,0.4013408501198756,0.014001614211994555,0.05858314637886269,0.006526348682938322,-0.05069964157784626,0.014929087041219901
0.427,17.42,3.91888,-0.15017224870348708,0.024437228447387684,0.5738925615039829,0.015973160891870706,0.0203848885877266,0.005894335857644765,0.011882783370264454,0.012377066746292529
