Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
2.4247e-10,1.4315e-10,2.214e-09,0.29497,17.42,60.0,0.427,2.60025,3.91888
4.9572e-11,3.9209e-11,2.1942e-09,0.29497,17.42,84.0,0.427,2.60025,3.91888
3.6931e-10,2.1378e-10,2.1614e-09,0.29497,17.42,108.0,0.427,2.60025,3.91888
3.5331e-10,3.0177e-10,2.1226e-09,0.29497,17.42,132.0,0.427,2.60025,3.91888
8.1276e-10,7.0225e-10,2.0909e-09,0.29497,17.42,156.0,0.427,2.60025,3.91888
3.28e-12,3.2842e-12,2.0786e-09,0.29497,17.42,180.0,0.427,2.60025,3.91888
3.1942e-09,2.1247e-09,2.0909e-09,0.29497,17.42,204.0,0.427,2.60025,3.91888
5.3398e-10,2.6493e-10,2.1226e-09,0.29497,17.42,228.0,0.427,2.60025,3.91888
7.173e-10,4.0007e-10,2.1614e-09,0.29497,17.42,252.0,0.427,2.60025,3.91888
5.9239e-10,2.7644e-10,2.1942e-09,0.29497,17.42,276.0,0.427,2.60025,3.91888
3.8015e-10,1.4659e-10,2.214e-09,0.29497,17.42,300.0,0.427,2.60025,3.91888
4.6505e-10,1.9743e-10,2.2215e-09,0.29497,17.42,324.0,0.427,2.60025,3.91888
1.0158e-09,4.853e-10,2.2227e-09,0.29497,17.42,348.0,0.427,2.60025,3.91888
