t_central,theta_cm,Q2,W,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.7,3.61601,2.6741,0.31702411665319086,0.029346527076092768,0.4738708787994609,0.015556900947720031,0.21741231275576636,0.009329367281349553,0.08122589326715057,0.019189278691222215
0.254,9.04,3.77492,2.63496,0.7559752158453806,0.011258225421855911,0.19093666423977465,0.004542429979277512,0.5471023669959431,0.011157318586361768,0.20102678530714474,0.010738062495536079
0.29,10.93,3.8439,2.61804,0.7243897548726453,0.016039431581040306,0.12404411162112258,0.003997989188832481,0.6044442998598741,0.013287868409810118,0.24437714941943287,0.012287442983021896
0.331,13.03,3.88624,2.60728,0.6478408329355266,0.024440914723413476,0.13657995327046135,0.006949210600877293,0.6791871548878202,0.017986811874024334,0.3191494717474284,0.018651529875188186
0.427,17.36,3.92866,2.59773,0.9664547916208812,0.031375526439641074,0.09495326045942636,0.0032245991965589036,0.977404073733694,0.023824127832943243,0.5659870674763946,0.024502584079342755
