Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
5.025e-08,2.6031e-09,5.1565e-08,0.29497,17.42,60.0,0.427,2.60025,3.91888
4.1135e-08,3.5515e-09,5.124e-08,0.29497,17.42,84.0,0.427,2.60025,3.91888
5.2984e-08,3.5558e-09,4.8972e-08,0.29497,17.42,108.0,0.427,2.60025,3.91888
4.8125e-08,5.016e-09,4.539e-08,0.29497,17.42,132.0,0.427,2.60025,3.91888
5.6053e-08,7.4306e-09,4.2108e-08,0.29497,17.42,156.0,0.427,2.60025,3.91888
5.8299e-08,8.9348e-09,4.0782e-08,0.29497,17.42,180.0,0.427,2.60025,3.91888
5.613e-08,7.7799e-09,4.2108e-08,0.29497,17.42,204.0,0.427,2.60025,3.91888
5.4489e-08,5.7425e-09,4.539e-08,0.29497,17.42,228.0,0.427,2.60025,3.91888
4.5805e-08,3.2754e-09,4.8972e-08,0.29497,17.42,252.0,0.427,2.60025,3.91888
4.6501e-08,3.3684e-09,5.124e-08,0.29497,17.42,276.0,0.427,2.60025,3.91888
4.552e-08,2.5349e-09,5.1565e-08,0.29497,17.42,300.0,0.427,2.60025,3.91888
4.2288e-08,2.0941e-09,5.0563e-08,0.29497,17.42,324.0,0.427,2.60025,3.91888
4.6068e-08,2.3882e-09,4.9549e-08,0.29497,17.42,348.0,0.427,2.60025,3.91888
