Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.672091,0.000438,2.664281,0.000110,0.285118,0.000029,0.019099,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856850,0.000515,2.616707,0.000135,0.292067,0.000036,0.024575,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.968029,0.000656,2.588052,0.000170,0.295875,0.000038,0.028470,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,4.040460,0.000797,2.569698,0.000204,0.298014,0.000041,0.033484,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.123591,0.000872,2.548750,0.000221,0.300389,0.000043,0.039084,0.000060
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.661160,0.000939,2.663568,0.000249,0.287411,0.000068,0.025248,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.819253,0.000773,2.624366,0.000205,0.292189,0.000051,0.028639,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.911065,0.000778,2.601661,0.000202,0.294636,0.000043,0.034101,0.000043
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.954596,0.000733,2.591204,0.000189,0.295505,0.000037,0.042008,0.000039
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,4.001676,0.000648,2.581573,0.000168,0.295200,0.000032,0.051478,0.000037
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.533826,0.001784,2.693288,0.000411,0.777300,0.000034,0.023352,0.000106
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.690264,0.002265,2.656558,0.000532,0.778229,0.000048,0.033332,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.775848,0.002290,2.635357,0.000547,0.778955,0.000046,0.039433,0.000110
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.861622,0.002210,2.614548,0.000533,0.779531,0.000042,0.046213,0.000102
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.972070,0.001641,2.587369,0.000401,0.780302,0.000028,0.058786,0.000080
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605852,0.001656,2.674854,0.000394,0.778130,0.000034,0.020309,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.797524,0.002125,2.629758,0.000511,0.779179,0.000041,0.026774,0.000114
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.891412,0.002566,2.607037,0.000623,0.779753,0.000041,0.031653,0.000135
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.966729,0.002764,2.588384,0.000677,0.780294,0.000041,0.038192,0.000149
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.013219,0.002266,2.577514,0.000557,0.780464,0.000033,0.053521,0.000139
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.603754,0.003941,2.672197,0.000993,0.778927,0.000086,0.028531,0.000200
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.759538,0.002987,2.636991,0.000726,0.779410,0.000059,0.031544,0.000155
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.867883,0.002902,2.611714,0.000702,0.779847,0.000045,0.035835,0.000145
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.935336,0.002710,2.595791,0.000659,0.780130,0.000037,0.042627,0.000132
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.973638,0.001973,2.587231,0.000484,0.780190,0.000028,0.056063,0.000108
