Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
8.8678e-08,4.6879e-09,4.3873e-07,0.29497,17.42,60.0,0.427,2.60025,3.91888
7.5159e-08,6.4364e-09,4.0729e-07,0.29497,17.42,84.0,0.427,2.60025,3.91888
8.2942e-08,5.5726e-09,3.7458e-07,0.29497,17.42,108.0,0.427,2.60025,3.91888
7.198e-08,7.5216e-09,3.4624e-07,0.29497,17.42,132.0,0.427,2.60025,3.91888
9.4969e-08,1.2601e-08,3.2707e-07,0.29497,17.42,156.0,0.427,2.60025,3.91888
9.9863e-08,1.5318e-08,3.2031e-07,0.29497,17.42,180.0,0.427,2.60025,3.91888
9.4334e-08,1.3105e-08,3.2707e-07,0.29497,17.42,204.0,0.427,2.60025,3.91888
8.2795e-08,8.7414e-09,3.4624e-07,0.29497,17.42,228.0,0.427,2.60025,3.91888
7.132e-08,5.1093e-09,3.7458e-07,0.29497,17.42,252.0,0.427,2.60025,3.91888
8.4867e-08,6.1986e-09,4.0729e-07,0.29497,17.42,276.0,0.427,2.60025,3.91888
7.7736e-08,4.494e-09,4.3873e-07,0.29497,17.42,300.0,0.427,2.60025,3.91888
8.6149e-08,4.3125e-09,4.6341e-07,0.29497,17.42,324.0,0.427,2.60025,3.91888
1.1797e-07,6.1333e-09,4.7696e-07,0.29497,17.42,348.0,0.427,2.60025,3.91888
