t_central,theta_cm,Q2,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.68,3.6168,0.6055258780929149,0.03085845050498684,0.2976091054478805,0.014572257133948295,-0.005040361753512864,0.008566803162573283,-0.019671679624589572,0.02015801397999551
0.253,9.01,3.77112,0.19151998157534023,0.025900678635454383,0.3764556127428858,0.012963856232681759,0.005579956544918473,0.00681135369221104,-0.07501325814359419,0.016758943209963843
0.289,10.95,3.83474,0.2208448966214854,0.02235586794340538,0.31245141948138044,0.011426416293176323,0.02169481261258543,0.00605841614903038,-0.056103963962509336,0.014368603725855954
0.331,13.1,3.87784,0.11093317037882092,0.020494507654845135,0.32435787745068134,0.011401281086322365,0.016457478533768315,0.005333978002025289,-0.0704370082389444,0.012363672830197923
0.427,17.42,3.91888,0.06160533383678001,0.01474550788975533,0.27806802490685256,0.009034432895522516,-0.0002714120588041679,0.003741388018826459,-0.07236416982929543,0.008186250063285282
