Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,14,312,336,1.2737493392859143,0.06280299596632476
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,15,336,360,1.59301283660456,0.073822773175097
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,1,0,24,1.833786058813064,0.08163937628355286
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,2,24,48,1.4518915935939758,0.06724415669870293
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,3,48,72,1.4761189306820335,0.0747373513958177
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,4,72,96,1.1217730685579437,0.08916718678986321
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,5,96,120,1.3394177045283941,0.0838070291449952
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,6,120,144,1.2755898250030557,0.1186937708823804
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,7,144,168,1.54307765970333,0.1820891747939854
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,8,168,192,1.5143889441961422,0.21901975890214148
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,9,192,216,1.5928305582998337,0.2005345421447302
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,10,216,240,1.3726602022721528,0.13945333522165917
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,11,240,264,1.1374979277182962,0.07633550001489733
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,12,264,288,1.3339566018730702,0.08953306210209311
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,13,288,312,1.3310647054113256,0.07168802941393718
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,14,312,336,1.4295079064444667,0.06617874067492405
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,15,336,360,1.6069253951437918,0.07919655505508537
