Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.676960,0.000434,2.663149,0.000109,0.285221,0.000029,0.019105,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856383,0.000513,2.616937,0.000135,0.291967,0.000036,0.024629,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.964204,0.000658,2.589191,0.000171,0.295623,0.000038,0.028561,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,4.032333,0.000804,2.571931,0.000206,0.297633,0.000041,0.033465,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.112520,0.000887,2.551697,0.000225,0.299961,0.000044,0.038689,0.000061
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.667862,0.000931,2.661906,0.000247,0.287632,0.000068,0.025033,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.822775,0.000765,2.623514,0.000203,0.292285,0.000051,0.028494,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.912595,0.000770,2.601301,0.000200,0.294674,0.000043,0.034041,0.000043
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.956401,0.000729,2.590754,0.000187,0.295567,0.000037,0.041835,0.000039
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,4.004990,0.000649,2.580561,0.000168,0.295448,0.000033,0.050759,0.000037
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.537330,0.001760,2.692454,0.000406,0.777326,0.000034,0.023912,0.000106
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.678731,0.002265,2.659092,0.000532,0.778208,0.000048,0.034009,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.748973,0.002336,2.641446,0.000557,0.778868,0.000046,0.040424,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.816767,0.002290,2.624914,0.000551,0.779352,0.000042,0.047551,0.000107
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.900881,0.001711,2.604064,0.000416,0.779996,0.000029,0.060803,0.000083
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.615837,0.001611,2.672539,0.000383,0.778184,0.000034,0.020496,0.000091
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.791217,0.002099,2.631277,0.000505,0.779139,0.000041,0.027385,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.867729,0.002566,2.612744,0.000622,0.779605,0.000041,0.032918,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.921199,0.002791,2.599404,0.000681,0.780012,0.000041,0.039949,0.000152
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,3.945564,0.002319,2.593773,0.000567,0.780086,0.000033,0.055450,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.613858,0.003860,2.669777,0.000973,0.779002,0.000086,0.028268,0.000198
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.760837,0.002933,2.636750,0.000713,0.779404,0.000059,0.031665,0.000153
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.856387,0.002822,2.614516,0.000682,0.779772,0.000044,0.036624,0.000141
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.910543,0.002625,2.601758,0.000638,0.779989,0.000037,0.043868,0.000127
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.945359,0.001982,2.593936,0.000484,0.780056,0.000028,0.055983,0.000105
