Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,4069.0,0.05564642629982271,0.0008805779557723453,1.5824519458406818
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,4713.0,0.06354105128611051,0.0009344609264883369,1.470641274537114
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,6898.0,0.08991846428805322,0.0010938454106678346,1.2164858678677026
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9076.0,0.1125411566304609,0.0011949459918221793,1.0617857747329655
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,9713.0,0.1142689913756916,0.0011747267929351707,1.0280363717160366
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,9829.0,0.10949499664272402,0.0011226430886655142,1.0252916782386277
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,9746.0,0.10492887992923682,0.0010832804668986593,1.0323949589752743
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,9281.0,0.09932128164671479,0.0010507244994309877,1.0579046927408857
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,9780.0,0.10542586113304771,0.0010858462536813868,1.0299619486257228
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,10147.0,0.11307479192901525,0.0011411513369455162,1.0092004747281735
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,9672.0,0.11338069498296567,0.001168434949323823,1.03054135406329
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9155.0,0.11346348153936142,0.0011997179955076584,1.0573604645574588
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,6991.0,0.09167307393071977,0.0011074346895359596,1.2080261324856225
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,4837.0,0.06533953110658913,0.0009485255682209089,1.451687136648667
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,3933.0,0.05388418359211976,0.0008672018151230862,1.6093810044287453
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,3844.0,0.05265782896155697,0.000856184314130989,1.6259392592050261
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,4741.0,0.06339503793148837,0.0009288455642438985,1.4651707681722832
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,7158.0,0.09113404771481286,0.001088816567104751,1.1947418055126895
