Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.09479172188107049,0.0009891977308236852,1.043548646647407
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.10209141819369259,0.001037954965450268,1.0166916904621812
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.10649113630993481,0.0010822380814063857,1.0162705732208634
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.1073804869978024,0.0011135872188162558,1.0370480242272007
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.09560012790016906,0.00107306936996979,1.122455998270576
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.068860423070811,0.0009196943154200525,1.3355920199245748
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.05021240637706593,0.0007889403652981782,1.5712060469153692
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.04841424236119591,0.0007756404269268757,1.6020914282623426
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.052111928742348074,0.0008039131093188535,1.542666197011365
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.06779179508131854,0.000911812509840063,1.3450189786925
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.09441443256309509,0.0010659354436263464,1.1289962929279962
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.10755562781332585,0.0011145445753139084,1.0362494255050214
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.1057575389833726,0.001079691910860549,1.0209124770105515
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10058119793080984,0.00102837310984721,1.0224307634063292
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.09319396543314008,0.000980425869557758,1.052027204766968
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.04683414322748004,0.0006546433647173589,1.397790841475766
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.0714082940957972,0.0008073543439771176,1.130617044140584
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.10087405288644442,0.0009813188800047972,0.9728159540783833
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.10798336757959416,0.00105928924866864,0.9809744522811272
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.09168823512660626,0.0010097851381292424,1.1013246538499692
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.06526610920686739,0.0008705780734471836,1.3338899530348902
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,4138.0,0.04796098654362544,0.0007529009759224477,1.5698196183633693
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,3676.0,0.042966928173228974,0.0007156267057788398,1.6655291318328849
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,4118.0,0.047842485510189076,0.0007530525458649766,1.5740247142983363
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,5671.0,0.06445830749979808,0.0008649721589706522,1.3419095110019164
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,8681.0,0.09449116312615398,0.0010254781800835442,1.085263580377819
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,10412.0,0.10590089337115145,0.0010507717704503722,0.992221818911127
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,10929.0,0.10168908391116437,0.0009863413298857584,0.9699579266024528
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,8066.0,0.07086697461939184,0.0008031151438430169,1.1332713836823713
