Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867166867179916,0.7778733623479845,5,1,0.16,0.236,0.198,15,180.0,5.699757660617646,3.6161369817890896,0.001588675316256761,2.6740715455747983,0.00038903611809230746,3.6634916312167434,0.0003717311195726888,2.665612525186415,9.347171949584393e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915489229927175,0.7792375618885062,5,2,0.236,0.272,0.254,15,180.0,9.042479183350869,3.7748672719249843,0.0019272086508236301,2.6349907733937985,0.0004895800525423382,3.83484308773387,0.0004067220712059941,2.6219875390014473,0.00010629061253406213
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2934826290703707,0.7797719857625145,5,3,0.272,0.31,0.291,15,180.0,10.97515190338074,3.846048474119526,0.002297851173566072,2.6175642893606725,0.0005750678936902937,3.9264597588919345,0.00047360049954245023,2.598668119470123,0.00012180528892761368
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29497501884344046,0.7802051660808795,5,4,0.31,0.358,0.334,15,180.0,13.195833897139698,3.8866066972848694,0.002476545131493515,2.6070651358521086,0.0006198996898961751,3.9730775405969605,0.0005050647911828267,2.5870025959289458,0.00012890720160031982
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29533476123200464,0.7802585287291673,5,5,0.358,0.5,0.429,15,180.0,17.42804816787134,3.9316097965475696,0.002355925373046348,2.5970747060950616,0.0005873781147415493,4.01711638811758,0.00047248221858878616,2.5769345201689404,0.0001202636747576371
