1.112384     0.106540     1   1
1.170444     0.132886     1   2
1.026936     0.093723     1   3
0.992627     0.081922     1   4
0.880639     0.072960     1   5
1.065548     0.074245     1   6
1.085552     0.075557     1   7
1.003974     0.065787     1   8
1.113102     0.070654     1   9
1.027412     0.072450     1   10
1.043776     0.083642     1   11
1.007071     0.082852     1   12
0.910209     0.085633     1   13
0.920834     0.098568     1   14
0.971167     0.110718     1   15
0.953415     0.117447     2   1
1.101111     0.108779     2   2
1.002471     0.108732     2   3
1.001081     0.084953     2   4
0.940248     0.077445     2   5
1.057979     0.064044     2   6
1.038073     0.068442     2   7
1.114061     0.075393     2   8
1.091644     0.067396     2   9
1.067078     0.065319     2   10
1.167719     0.079690     2   11
0.872466     0.076272     2   12
0.990578     0.088150     2   13
0.867815     0.097278     2   14
0.970550     0.104139     2   15
0.931287     0.105005     3   1
0.975168     0.113809     3   2
0.991937     0.090260     3   3
0.861786     0.068625     3   4
0.954099     0.064946     3   5
0.858276     0.056315     3   6
0.987986     0.070477     3   7
1.046157     0.074380     3   8
1.069580     0.072395     3   9
1.021019     0.064041     3   10
0.983079     0.063226     3   11
0.980853     0.077674     3   12
0.955796     0.085960     3   13
0.985503     0.099358     3   14
0.792816     0.095140     3   15
1.052224     0.132382     4   1
1.098485     0.133734     4   2
0.984718     0.088706     4   3
0.849413     0.068924     4   4
0.957310     0.071748     4   5
1.001696     0.070305     4   6
1.084961     0.077431     4   7
1.113933     0.078885     4   8
1.282383     0.086274     4   9
1.110033     0.074304     4   10
0.974992     0.068426     4   11
0.952202     0.078001     4   12
1.074677     0.098463     4   13
0.937281     0.105183     4   14
1.015121     0.140327     4   15
1.325498     0.210473     5   1
1.232692     0.168426     5   2
1.170949     0.129310     5   3
0.993066     0.089809     5   4
0.889155     0.071565     5   5
1.010061     0.072253     5   6
1.033607     0.082570     5   7
1.096447     0.083312     5   8
1.113113     0.082936     5   9
1.090489     0.077423     5   10
0.945046     0.075702     5   11
0.938435     0.090963     5   12
1.300816     0.116314     5   13
1.247148     0.156069     5   14
1.696678     0.235878     5   15
