Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.671672,0.000440,2.664382,0.000110,0.285105,0.000029,0.019125,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.856982,0.000516,2.616642,0.000136,0.292095,0.000036,0.024551,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.966525,0.000669,2.588398,0.000173,0.295859,0.000039,0.028338,0.000038
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,4.037971,0.000798,2.570298,0.000205,0.297964,0.000041,0.033111,0.000044
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.120229,0.000842,2.549539,0.000213,0.300338,0.000041,0.038851,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.660535,0.000939,2.663691,0.000249,0.287415,0.000068,0.025225,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.820226,0.000776,2.624105,0.000206,0.292231,0.000052,0.028560,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.911773,0.000799,2.601452,0.000207,0.294685,0.000044,0.033748,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.955799,0.000752,2.590818,0.000193,0.295603,0.000038,0.041243,0.000040
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,4.002626,0.000633,2.581190,0.000164,0.295338,0.000032,0.050935,0.000036
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.534355,0.001774,2.693012,0.000410,0.777342,0.000034,0.023359,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.692091,0.002283,2.656017,0.000537,0.778267,0.000049,0.033274,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3080,0.2900,15,180.0000,3.776519,0.002319,2.635266,0.000552,0.778945,0.000047,0.039396,0.000111
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.855921,0.002224,2.615917,0.000537,0.779499,0.000043,0.045764,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.973382,0.001591,2.586984,0.000389,0.780331,0.000027,0.058293,0.000078
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605237,0.001665,2.674920,0.000396,0.778146,0.000034,0.020339,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.796442,0.002140,2.629857,0.000515,0.779212,0.000041,0.026770,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3080,0.2900,15,180.0000,3.894777,0.002609,2.605977,0.000634,0.779840,0.000042,0.031287,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.970473,0.002794,2.587490,0.000684,0.780315,0.000041,0.037329,0.000150
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.022041,0.002196,2.575334,0.000541,0.780532,0.000032,0.052342,0.000137
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.603982,0.003934,2.671874,0.000998,0.778997,0.000087,0.028476,0.000202
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.757807,0.003008,2.637418,0.000731,0.779394,0.000058,0.031540,0.000156
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3080,0.2900,15,180.0000,3.869273,0.003001,2.611218,0.000726,0.779897,0.000046,0.035374,0.000150
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.939463,0.002822,2.594665,0.000686,0.780185,0.000039,0.041642,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.980398,0.001973,2.585572,0.000483,0.780236,0.000028,0.055080,0.000109
