Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,9,192,216,3868.0,0.05794217294931975,0.0009383583697755686,1.6194739030521381
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,10,216,240,5800.0,0.08114793439309642,0.0010758865730104328,1.3258335915226485
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,11,240,264,8960.0,0.11063082100707994,0.0011891869417372345,1.0749146855387894
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,12,264,288,10645.0,0.11990580419422128,0.001190672078724894,0.9930062074361843
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,13,288,312,8873.0,0.09260642146680186,0.0010168642137023207,1.0980493551053074
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,14,312,336,3418.0,0.03920976136569613,0.0006892945960093359,1.7579668225483938
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,15,336,360,1877.0,0.023444415314311347,0.0005498391128776366,2.3452882296535424
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,1,0,24,852.0,0.01146980513185016,0.0003989960594001888,3.4786646748882295
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,2,24,48,1362.0,0.017399550306390194,0.00048148221280692804,2.76721067112923
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,3,48,72,5246.0,0.056429856446009036,0.0008121223516090146,1.4391713939340551
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,4,72,96,10075.0,0.11254798961913348,0.0011562999637764828,1.0273839343460904
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,5,96,120,9186.0,0.11447040063352819,0.0012185623764530845,1.0645218062564985
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,6,120,144,5327.0,0.07695875589084186,0.0010654730309243696,1.384472784923439
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,7,144,168,3174.0,0.05022609183807655,0.0008981044377480592,1.7881232739418589
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,8,168,192,2523.0,0.04115781270647119,0.000824832291582667,2.004072221877281
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,9,192,216,3073.0,0.04897008735431697,0.0008898625568849493,1.8171553390265767
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,10,216,240,5412.0,0.07838950405612774,0.0010772758595248885,1.3742603330588075
