Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,14,312,336,0.9351248824181645,0.04613422219223474
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,15,336,360,1.1315563436587495,0.05248124274289192
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,1,0,24,1.120375712670826,0.04994272503712266
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,2,24,48,0.9194341348365288,0.04261406275495788
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,3,48,72,0.9171556150172362,0.04652382440306223
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,4,72,96,0.6861375580829893,0.05371942007678371
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,5,96,120,0.8580570312731115,0.053546949108737044
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,6,120,144,0.7737637269861393,0.07192980154215455
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,7,144,168,0.9165795098208748,0.10808356532684946
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,8,168,192,0.8866447551501482,0.1280492054410929
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,9,192,216,0.9456277675919001,0.11885302061106207
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,10,216,240,0.8358455695454163,0.08483043607941308
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,11,240,264,0.7273593212838821,0.0487299175380202
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,12,264,288,0.7962880158129361,0.0532574494660701
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,13,288,312,0.8176595071359721,0.04428233682658488
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,14,312,336,0.9047135426198228,0.041907672640798005
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,15,336,360,0.9756417561399088,0.04813443929424594
