Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.675036,0.000434,2.663609,0.000109,0.285171,0.000029,0.019151,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.854201,0.000513,2.617472,0.000135,0.291907,0.000036,0.024725,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.960851,0.000659,2.590030,0.000171,0.295525,0.000038,0.028695,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,4.028181,0.000804,2.572981,0.000207,0.297509,0.000041,0.033595,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.108547,0.000889,2.552703,0.000226,0.299847,0.000044,0.038788,0.000061
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.665886,0.000931,2.662401,0.000247,0.287565,0.000068,0.025083,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.821207,0.000765,2.623904,0.000203,0.292237,0.000051,0.028559,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.910456,0.000768,2.601833,0.000199,0.294614,0.000043,0.034146,0.000043
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.953715,0.000724,2.591427,0.000186,0.295491,0.000037,0.041997,0.000038
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,4.001993,0.000642,2.581361,0.000166,0.295328,0.000032,0.051026,0.000036
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.536112,0.001758,2.692716,0.000405,0.777324,0.000034,0.023944,0.000106
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.676316,0.002267,2.659614,0.000533,0.778206,0.000048,0.034103,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.744869,0.002340,2.642373,0.000558,0.778856,0.000046,0.040538,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.809634,0.002301,2.626581,0.000553,0.779319,0.000043,0.047691,0.000108
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.887303,0.001725,2.607319,0.000419,0.779920,0.000029,0.061094,0.000085
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.612942,0.001615,2.673195,0.000385,0.778173,0.000034,0.020558,0.000091
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.787751,0.002106,2.632053,0.000507,0.779130,0.000041,0.027517,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.861944,0.002571,2.614103,0.000623,0.779578,0.000041,0.033131,0.000137
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.912585,0.002787,2.601481,0.000680,0.779962,0.000041,0.040258,0.000153
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,3.933734,0.002309,2.596674,0.000564,0.780008,0.000034,0.055940,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.611864,0.003865,2.670240,0.000974,0.778991,0.000086,0.028314,0.000198
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.759360,0.002930,2.637064,0.000713,0.779405,0.000059,0.031710,0.000153
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.854181,0.002813,2.615018,0.000680,0.779768,0.000044,0.036718,0.000140
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.907809,0.002601,2.602425,0.000632,0.779974,0.000037,0.044042,0.000126
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.942477,0.001945,2.594682,0.000475,0.780031,0.000028,0.056320,0.000103
