Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.10169470904117228,0.001065304538614292,1.0475515871558185
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.10935594032168898,0.001115720346440354,1.0202649651754392
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.11362131043205075,0.0011572984778970825,1.0185575870374992
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.11413940315629637,0.0011844951250144667,1.0377618002719733
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.10146197429486462,0.001138228509997197,1.1218276777163079
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.0733690863809435,0.000978873932976754,1.3341776233852647
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.053657609191864374,0.000842188652141166,1.5695605242673754
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.051821487704582,0.0008294676469412998,1.6006249215959099
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.05571520051529094,0.0008586596062596245,1.541158603609381
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.07229052770573978,0.0009713181993296628,1.343631358292798
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.1001982698156267,0.0011305689941429919,1.1283318526590675
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.11434766537786613,0.0011856870063726706,1.0369140484456096
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.11298549427320458,0.0011560836834007037,1.0232142549248273
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10766016744744102,0.001104449281466177,1.0258662118516226
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.09996576376853494,0.00105579766801335,1.0561592571412644
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.049503871348792645,0.0006946334299871401,1.4031901163707303
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.07533116512157698,0.0008543652481399008,1.1341458037467504
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.10664624525928754,0.001039544903495352,0.9747599654989454
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.11624923863838417,0.001140551921644725,0.9811263583348131
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.10199030674915076,0.0011217592139701714,1.0998684578223528
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.07560522118865767,0.0010066007048195374,1.3313904635074967
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,4138.0,0.05688055421041332,0.0008915033244392261,1.5673253132192855
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,3676.0,0.051312236765813764,0.000853356400215331,1.6630660715688597
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,4118.0,0.05674142307628765,0.0008917591115618454,1.5716192213982614
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,5671.0,0.07469359435909899,0.001000393067507108,1.3393291300156085
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,8681.0,0.10509955742830096,0.001139212403619607,1.0839364422602626
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,10412.0,0.11410587276328325,0.0011321669731764942,0.9922074523939846
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,10929.0,0.10753428345826659,0.0010452034030672165,0.9719722580128166
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,8066.0,0.07466428492427407,0.0008490489353759316,1.137155383242541
