Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.670003,0.000434,2.664806,0.000109,0.285047,0.000029,0.019288,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.847479,0.000515,2.619121,0.000135,0.291723,0.000036,0.025062,0.000031
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.950621,0.000657,2.592544,0.000170,0.295265,0.000038,0.029190,0.000037
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,4.016774,0.000797,2.575769,0.000205,0.297249,0.000042,0.034147,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.099206,0.000886,2.554942,0.000225,0.299677,0.000044,0.039429,0.000060
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.660651,0.000930,2.663743,0.000247,0.287361,0.000068,0.025275,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.814500,0.000761,2.625617,0.000202,0.292001,0.000051,0.028906,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.901344,0.000756,2.604130,0.000196,0.294336,0.000042,0.034634,0.000042
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.944767,0.000706,2.593674,0.000182,0.295239,0.000037,0.042531,0.000037
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.994971,0.000621,2.583260,0.000161,0.295034,0.000032,0.051814,0.000035
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.534103,0.001757,2.693146,0.000406,0.777322,0.000034,0.023914,0.000107
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.674939,0.002260,2.659878,0.000532,0.778214,0.000048,0.034145,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.744060,0.002321,2.642523,0.000554,0.778864,0.000047,0.040574,0.000114
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.809107,0.002269,2.626687,0.000546,0.779324,0.000043,0.047709,0.000108
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.884362,0.001700,2.608098,0.000413,0.779890,0.000030,0.061038,0.000085
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.609180,0.001621,2.674029,0.000386,0.778163,0.000034,0.020519,0.000091
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.785818,0.002102,2.632423,0.000506,0.779143,0.000041,0.027525,0.000114
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.859318,0.002548,2.614669,0.000618,0.779583,0.000042,0.033193,0.000136
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.910337,0.002731,2.602001,0.000667,0.779963,0.000042,0.040399,0.000151
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,3.935760,0.002233,2.596273,0.000546,0.780009,0.000034,0.056231,0.000135
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.611063,0.003860,2.670402,0.000974,0.778994,0.000086,0.028258,0.000197
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.762989,0.002891,2.636152,0.000704,0.779443,0.000059,0.031485,0.000151
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.862469,0.002760,2.613023,0.000668,0.779828,0.000045,0.036329,0.000138
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.925763,0.002527,2.598195,0.000616,0.780075,0.000038,0.043371,0.000124
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.969603,0.001846,2.588286,0.000453,0.780176,0.000029,0.056010,0.000102
