Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,11,240,264,9438.0,21.816956999878077,14.1848262132396,65.01743672739912
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,12,264,288,11198.0,416.41670303447427,298.06388430819834,71.57827295019005
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,13,288,312,9500.0,50.85505724608134,47.009391192285605,92.43798697308111
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,14,312,336,3687.0,0.6827322705970121,0.5046752322867265,73.91993231042316
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,15,336,360,2053.0,3.6860176581979656,3.4848425423317906,94.54220965494436
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,1,0,24,852.0,0.18760328900946796,0.1200901359347648,64.01280946023505
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,2,24,48,1362.0,0.0438272311773198,0.02324957525327519,53.048241079182375
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,3,48,72,5246.0,0.42151632897753366,0.3025927445341446,71.78671945358313
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,4,72,96,10075.0,0.8265518726968109,0.3597267021050283,43.52137040490142
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,5,96,120,9186.0,4.056792271522402,1.825991612534712,45.01072498468027
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,6,120,144,5327.0,1.0277222897487814,0.770258724533494,74.94813844329265
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,7,144,168,3174.0,0.06573544310590676,0.030677038038390184,46.66742413064171
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,8,168,192,2523.0,16.118551255089848,16.00713889408218,99.30879420089018
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,9,192,216,3073.0,0.18574467885299878,0.10667567698572372,57.43135019773488
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,10,216,240,5412.0,0.14914013120490222,0.08165163976532826,54.748268695799815
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,11,240,264,9239.0,203.57160922304556,203.21558520228953,99.82511116254628
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,12,264,288,9765.0,36.48231945732269,33.43746735013612,91.65389659298263
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,13,288,312,4694.0,0.10231694560104866,0.0422277721443951,41.271533172079266
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,14,312,336,1385.0,4.668590760686028,4.385509889328518,93.93648135233185
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,15,336,360,850.0,0.02268296564046559,0.013319279422735386,58.71930343611804
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,1,0,24,303.0,0.02202593049808515,0.018972559460258713,86.13738003898685
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,2,24,48,552.0,0.010101400505320384,0.007884263993697588,78.05119685676225
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,3,48,72,2054.0,0.20112144475582203,0.1854631511051607,92.21450816959288
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,4,72,96,7309.0,0.4956563009877887,0.41726599843847917,84.18454433181093
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,5,96,120,9318.0,0.5259647907948424,0.30691516220254766,58.352796151760444
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,6,120,144,4719.0,0.26715667889267625,0.22757619123329678,85.184541212507
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,7,144,168,2007.0,0.06552994752936754,0.056516267196172976,86.24494498617591
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,8,168,192,1507.0,12.895485791119047,12.757702010376525,98.93153477911308
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,9,192,216,2047.0,0.01654265710727802,0.01134731995302151,68.59430065820082
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,10,216,240,4840.0,0.21337426855016928,0.10546584100872664,49.42762861020852
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,11,240,264,9140.0,0.23053507976967993,0.1304193058401671,56.57243399593015
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,12,264,288,6737.0,0.1759889748466519,0.09145788702604234,51.96796396236424
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,13,288,312,1872.0,0.31869101273871736,0.26212363022867996,82.2500854279142
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,14,312,336,598.0,0.03898048490378984,0.02616977262318789,67.13557485952045
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,15,336,360,354.0,0.011244495521197358,0.006540835196275045,58.16921874302593
