Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9483.0,0.10125639016929561,0.0010599587928543472,1.0468068149399257
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,9979.0,0.1083372233641408,0.0011057244199090962,1.0206320464689764
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9952.0,0.11267391984749622,0.0011490409968981706,1.0197932214068648
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9536.0,0.11400364503291316,0.0011851396820702696,1.0395629733839795
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8126.0,0.10337203457665375,0.0011617597862262348,1.123862745842302
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5734.0,0.07677012885452326,0.0010253959657002877,1.3356705023165683
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4143.0,0.056967867400030785,0.0008949034929957645,1.570891686556764
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3984.0,0.055109445857137514,0.000882492706679925,1.6013456367673287
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4297.0,0.059010624226406336,0.0009100717584210143,1.5422167962998286
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5655.0,0.07555862659611527,0.0010161221964625833,1.3448129515297802
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8031.0,0.1021812793398221,0.0011549457152204479,1.130290913054112
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9548.0,0.11418251018242771,0.0011858266367225194,1.0385361425562825
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9855.0,0.11215448858112281,0.0011489572635324118,1.0244416233964242
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9866.0,0.10690781113514682,0.0010971164675563933,1.0262266675439466
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9340.0,0.09965818001282777,0.0010520194281409745,1.0556277748656064
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,5306.0,0.05650536630902093,0.000793129951086044,1.4036365090503324
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,8086.0,0.08328797618439143,0.0009490188296884422,1.1394427781357148
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,10872.0,0.1128908986176354,0.0011071039601537882,0.9806848680544035
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,10642.0,0.11901148555734226,0.001174121486822114,0.9865614913750468
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,8430.0,0.10257792150661749,0.0011322186131627729,1.1037644324755902
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,5736.0,0.07639446042726568,0.00101795861395237,1.332503179234517
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,4138.0,0.05760335900304072,0.0009023256254734462,1.5664461953092266
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,3676.0,0.05207395219048315,0.0008652604646183332,1.6615993759284229
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,4118.0,0.057394926990016706,0.0009012909528051498,1.5703320834643115
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,5671.0,0.07533718163380097,0.001009704370366147,1.3402470711927061
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,8681.0,0.10563166778915961,0.0011491042856932464,1.0878407107865171
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,10412.0,0.11697147950495915,0.0011663280768657038,0.9971046632920942
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,10929.0,0.11404861025809176,0.0011156392061555187,0.9782137665955154
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,8066.0,0.08248619345811474,0.0009415800022389184,1.1415001259780992
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,5411.0,0.058091594117893545,0.0008075803514095589,1.3901845244091962
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,1,0,24,1959.0,0.02451232781882917,0.0005638843834076335,2.3004113994203568
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,2,24,48,3465.0,0.03993418086050113,0.0006972518663156533,1.7460026756309521
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,3,48,72,9143.0,0.09560684865106119,0.0010325993832886328,1.0800475048156202
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,4,72,96,10842.0,0.12099653613833508,0.001190706344890027,0.984083001788328
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,5,96,120,9033.0,0.11100736469570457,0.001188773894611875,1.0708964201344333
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,6,120,144,5571.0,0.07669170340319843,0.0010377913729993646,1.3531990123407318
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,7,144,168,3796.0,0.055845449397969905,0.0009133921583976024,1.6355713280925017
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,8,168,192,3376.0,0.05080864580114935,0.0008806942962484441,1.7333551846574147
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,9,192,216,3868.0,0.05684616930928897,0.0009209062570041401,1.6199970344416135
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,10,216,240,5800.0,0.07999023303455684,0.00106089029685363,1.326274792067816
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,11,240,264,8960.0,0.11015935049006978,0.0011840032714040243,1.074809597312173
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,12,264,288,10645.0,0.12085659896835735,0.0011989508966078386,0.9920442134249928
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,13,288,312,8873.0,0.09407161612904182,0.0010309752492314497,1.0959472066656317
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,14,312,336,3418.0,0.03964110922564464,0.0006960147413650607,1.7557902767130305
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,15,336,360,1877.0,0.023574947392221133,0.0005527401594968215,2.3446082415403624
