Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,15,336,360,1877.0,0.02360439687472659,0.0005533522257252548,2.3442760628962875
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,1,0,24,852.0,0.011514206105886791,0.0004004267368286073,3.477675604780809
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,2,24,48,1362.0,0.01750945631267326,0.0004841667171972771,2.765172764655403
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,3,48,72,5246.0,0.05723759329451426,0.0008216989034622929,1.4355930362659848
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,4,72,96,10075.0,0.1134408381713274,0.0011639051656154266,1.0260019093455606
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,5,96,120,9186.0,0.11358526028788335,0.001208980365691589,1.0643813841931709
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,6,120,144,5327.0,0.07544126494074398,0.0010448630529292556,1.3850020327071035
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,7,144,168,3174.0,0.04900342526424154,0.0008765568336940328,1.7887664565637376
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,8,168,192,2523.0,0.040117582269227084,0.0008042077019516914,2.0046265414368536
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,9,192,216,3073.0,0.047775684054749266,0.0008684387516819373,1.8177421608170734
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,10,216,240,5412.0,0.07685440872765635,0.0010566460889366502,1.3748672410987035
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,11,240,264,9239.0,0.11488048025896665,0.001218539088135061,1.0607015964663427
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,12,264,288,9765.0,0.11195124741558951,0.0011642120761465179,1.0399277391029753
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,13,288,312,4694.0,0.05238300687367646,0.0007939764489144555,1.5157137711265005
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,14,312,336,1385.0,0.01793958460334881,0.0004919301078469769,2.7421488218581582
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,15,336,360,850.0,0.011477086598215488,0.0003997085792782088,3.4826658826496737
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,1,0,24,303.0,0.004808045347121862,0.0002836361169221973,5.899198040883379
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,2,24,48,552.0,0.008178140669855045,0.0003577265374532387,4.374179314032016
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,3,48,72,2054.0,0.02568028144479472,0.0005911338984460651,2.3018980524681334
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,4,72,96,7309.0,0.08886836819194763,0.0010723409498576428,1.206662136004887
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,5,96,120,9318.0,0.11890710503344197,0.0012559964716981442,1.0562837866962635
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,6,120,144,4719.0,0.06910216649512192,0.0010179306964199785,1.4730807267697412
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,7,144,168,2007.0,0.03285988139726771,0.000739047907910918,2.2490887869496987
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,8,168,192,1507.0,0.02543345863615138,0.0006590949273693735,2.591448283925212
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,9,192,216,2047.0,0.03346886005740244,0.0007446435181321413,2.2248846146985684
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,10,216,240,4840.0,0.07089295780645367,0.001030832372885487,1.454068788750194
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,11,240,264,9140.0,0.1176252233418126,0.0012539318770231895,1.0660399541851078
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,12,264,288,6737.0,0.08233600755893959,0.0010334406208270086,1.2551502695673313
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,13,288,312,1872.0,0.023956622007229863,0.0005768727013503105,2.4079884934370805
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,14,312,336,598.0,0.008917225780571534,0.0003748651734116554,4.203831804151415
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,15,336,360,354.0,0.005614308621028881,0.00030688380099827176,5.466101379764051
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,1,0,24,6649.0,0.06769460152018575,0.0008440213084270013,1.246807410743564
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,2,24,48,4857.0,0.05009232601250655,0.000730036403875536,1.4573817228875892
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,3,48,72,1116.0,0.012357092143043535,0.0003750817736674224,3.0353562903435654
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,4,72,96,56.0,0.0007510711756476319,0.00010104724446948614,13.453750822264663
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,5,96,120,7.0,9.842025741988892e-05,3.738073868392475e-05,37.980736551468105
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,6,120,144,3.0,3.98574522866271e-05,2.3029563398998728e-05,57.77981802094653
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,8,168,192,1.0,1.5966899979326224e-05,1.5966899979326224e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,9,192,216,1.0,1.2749172886812076e-05,1.2749172886812076e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,10,216,240,3.0,4.181855124039026e-05,2.4259868381214588e-05,58.01221625722726
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,11,240,264,9.0,0.00011747306267166223,3.939764249010054e-05,33.53759712574885
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,12,264,288,97.0,0.0012713440401140967,0.00013027096940885775,10.24671255761474
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,13,288,312,1251.0,0.01384118055020055,0.0003974423436267153,2.871448300130415
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,14,312,336,4825.0,0.04971854503971818,0.0007271995878328538,1.4626324789913356
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,15,336,360,6717.0,0.06834375485436836,0.000848210278122792,1.24109405450464
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,1,0,24,11542.0,0.10949677755188938,0.0010495284543468066,0.9585016817955634
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,2,24,48,10747.0,0.10474139458906782,0.001038510477958302,0.9914995709506186
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,3,48,72,5370.0,0.05784968767952075,0.0008069934127299743,1.394983179858474
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,4,72,96,750.0,0.009904841373581882,0.00036506019878482796,3.685674358788963
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,5,96,120,70.0,0.0010104489012704536,0.00012156014538913906,12.03031100694944
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,6,120,144,12.0,0.0001752515900754601,5.085369689166942e-05,29.01753808326233
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,7,144,168,10.0,0.0001534401161396204,4.88359436094895e-05,31.827363559248095
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,8,168,192,6.0,9.00607027687291e-05,3.696025419151482e-05,41.039269132094944
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,9,192,216,13.0,0.00019891838651144806,5.555081039544087e-05,27.926433232075226
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,10,216,240,17.0,0.000271947459113038,6.617309681519744e-05,24.333044710556333
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,11,240,264,77.0,0.0010863608247767967,0.00012443867099277191,11.454635343495475
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,12,264,288,803.0,0.010414774866869309,0.00037144838720598773,3.5665522486483234
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,13,288,312,5591.0,0.06025013790515248,0.0008240347045749616,1.3676893252463271
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,14,312,336,10788.0,0.1050379132925844,0.001038300469831884,0.9885006635077425
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,15,336,360,11432.0,0.10877364209968961,0.001048261687536777,0.963709284070914
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,1,0,24,14803.0,0.13230077359970777,0.001140951894725466,0.8623924590022097
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,2,24,48,13842.0,0.1296356322413888,0.0011501340446286956,0.8872051801985134
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,3,48,72,8789.0,0.0922688364999925,0.0010172632825385872,1.102499306511435
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,4,72,96,1793.0,0.02389356243365676,0.0005735710825464385,2.40052559821929
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,5,96,120,166.0,0.0026345092494804586,0.00020601199689985404,7.819748476513448
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,6,120,144,18.0,0.0002827565254388749,6.695089350071434e-05,23.677930472797343
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,7,144,168,18.0,0.00029624027518922153,7.018957878652069e-05,23.6934625927172
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,8,168,192,13.0,0.0002167064723297724,6.033624359914278e-05,27.84238188665002
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,9,192,216,15.0,0.0002632375457797783,6.828963640191448e-05,25.942209801273886
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,10,216,240,46.0,0.0007742693025662737,0.00011470639292634868,14.81479280479809
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,11,240,264,170.0,0.002772664698142175,0.0002142667636217968,7.727828170689602
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,12,264,288,1811.0,0.02407767219641152,0.0005753531149973793,2.3895711774127757
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,13,288,312,8935.0,0.09386106499084354,0.0010269944783795626,1.0941645276236205
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,14,312,336,14210.0,0.13296294084076146,0.0011632582738138242,0.8748740562281643
Q3p85_W2p62_t0p21_loweps_left,3,0.272,0.308,15,336,360,14708.0,0.13219999644449543,0.0011427273514092548,0.8643928760535425
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,1,0,24,20609.0,0.16881304844769565,0.0012589872753926764,0.7457878919725545
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,2,24,48,19125.0,0.1650484937116318,0.0012647007946849054,0.7662601252784264
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,3,48,72,12004.0,0.12064951380883084,0.0011508163643838183,0.9538508097158906
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,4,72,96,2576.0,0.0338051610420425,0.0006820559416133577,2.0176089111514792
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,5,96,120,147.0,0.0025004630215054633,0.0002084569596054329,8.336734349301691
