Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867161033234622,0.7778733536272833,5,1,0.16,0.236,0.198,15,180.0,5.701726323445186,3.6160109764088553,0.001593943959086979,2.6740981894390936,0.00039024417489592065,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867175200167701,0.7778737946942623,5,1,0.16,0.236,0.198,15,180.0,5.70139157009448,3.6160294944081044,0.0015938116856881732,2.674092582573475,0.00039021453055979337,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867159666848684,0.7778732953459729,5,1,0.16,0.236,0.198,15,180.0,5.701591976943727,3.6160199669936492,0.0015934757256214288,2.6740965149071436,0.00039014376422900595,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671738290596227,0.7778737362750253,5,1,0.16,0.236,0.198,15,180.0,5.701257421295342,3.616038472625459,0.001593343568747747,2.6740909111802993,0.0003901141427679094,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671840792178216,0.7778741669261557,5,1,0.16,0.236,0.198,15,180.0,5.702195842693181,3.615975515955638,0.001593396981357092,2.6741025504480267,0.000390138185926441,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671982384959266,0.7778746077496769,5,1,0.16,0.236,0.198,15,180.0,5.701861253916177,3.6159940271309914,0.0015932648440730752,2.674096945964972,0.00039010856573581894,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671826996459737,0.7778741081878244,5,1,0.16,0.236,0.198,15,180.0,5.702061327492484,3.615984521190919,0.0015929292296216451,2.6741008745823924,0.00039003785702984963,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867196854207095,0.777874548873575,5,1,0.16,0.236,0.198,15,180.0,5.701726936218474,3.6160030200088897,0.0015927972086630306,2.6740952732353858,0.0003900082596832216,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671440132608383,0.7778728723866583,5,1,0.16,0.236,0.198,15,180.0,5.70264340668961,3.61595542068053,0.001593973496071666,2.674111772489967,0.00039024417489592065,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.286715818066284,0.7778733134548654,5,1,0.16,0.236,0.198,15,180.0,5.702308566007494,3.615973948586517,0.0015938412153199569,2.6741061635607934,0.00039021453055979337,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867142648607809,0.7778728141144065,5,1,0.16,0.236,0.198,15,180.0,5.702508570680764,3.615964444234608,0.0015935052365831216,2.6741100909690196,0.00039014376422900595,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867156811289695,0.777873255044771,5,1,0.16,0.236,0.198,15,180.0,5.702173927797589,3.61598295976141,0.0015933730723673286,2.674104485180743,0.0003901141427679094,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867167057608398,0.7778736855782035,5,1,0.16,0.236,0.198,15,180.0,5.703112273775111,3.615919997037856,0.0015934264879439194,2.6741161261216826,0.000390138185926441,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671812173588557,0.7778741264030854,5,1,0.16,0.236,0.198,15,180.0,5.702777597789571,3.615938518106793,0.0015932943433196055,2.6741105195773134,0.00039010856573581894,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.286716567978048,0.7778736268493586,5,1,0.16,0.236,0.198,15,180.0,5.702977269765718,3.6159290351987425,0.0015929587102300853,2.6741144432746387,0.00039003785702984963,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671798348159633,0.7778740675365535,5,1,0.16,0.236,0.198,15,180.0,5.7026427913792075,3.6159475438985744,0.0015928266819419407,2.674108839868437,0.0003900082596832216,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867204101938695,0.7778745058258122,5,1,0.16,0.236,0.198,15,180.0,5.698710333548106,3.6161964506854702,0.0015912251120579542,2.6740545891394936,0.0003896754170154285,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867218239307123,0.7778749460524496,5,1,0.16,0.236,0.198,15,180.0,5.6983769112489036,3.6162148748984406,0.0015910935143197634,2.6740490052073693,0.0003896459020953089,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672027461461974,0.7778744480979803,5,1,0.16,0.236,0.198,15,180.0,5.698578019072938,3.616205302061373,0.0015907592698556458,2.6740529418512513,0.00038957544462447306,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867216878796264,0.7778748881866399,5,1,0.16,0.236,0.198,15,180.0,5.698244792922366,3.6162237140269347,0.0015906277876525288,2.6740473610328763,0.0003895459524132295,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672270722761783,0.7778753166328811,5,1,0.16,0.236,0.198,15,180.0,5.699180496329566,3.6161609841794147,0.0015906809275999904,2.67405896106397,0.0003895698906636871,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867241202012349,0.7778757566166845,5,1,0.16,0.236,0.198,15,180.0,5.698847237179269,3.6161794016568565,0.0015905494648201528,2.6740533794934045,0.0003895403997136923,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867225703348001,0.7778752584496162,5,1,0.16,0.236,0.198,15,180.0,5.699048011947924,3.616169850254616,0.0015902155630358474,2.674057312425581,0.0003894699994492247,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867239828370969,0.7778756982955985,5,1,0.16,0.236,0.198,15,180.0,5.698714948749285,3.6161882554945297,0.0015900842155937328,2.6740517339660737,0.00038944053117738426,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867187077759944,0.7778740241599477,5,1,0.16,0.236,0.198,15,180.0,5.69962499210098,3.6161410911798595,0.0015912544981506644,2.674068132626227,0.0003896754170154285,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672012156135984,0.777874464388454,5,1,0.16,0.236,0.198,15,180.0,5.699291482974934,3.616159525229885,0.001591122893122063,2.6740625466425505,0.0003896459020953089,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867185723754119,0.7778739664432908,5,1,0.16,0.236,0.198,15,180.0,5.699492190742184,3.6161499752927115,0.0015907886301464867,2.6740664783896326,0.00038957544462447306,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28671998568913815,0.7778744065339015,5,1,0.16,0.236,0.198,15,180.0,5.699158877860286,3.616168397083707,0.0015906571406636234,2.6740608955218095,0.0003895459524132295,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672100465433586,0.7778748348627641,5,1,0.16,0.236,0.198,15,180.0,5.700094506164274,3.6161056612245392,0.001590710283553128,2.674072497216388,0.0003895698906636871,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2867224176768113,0.7778752748485664,5,1,0.16,0.236,0.198,15,180.0,5.699761160308551,3.61612408852602,0.0015905788134953365,2.6740669135964916,0.0003895403997136923,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672086794126483,0.777874776691094,5,1,0.16,0.236,0.198,15,180.0,5.699961535591723,3.6161145599934725,0.0015902448932311934,2.6740708416371683,0.0003894699994492247,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
