0.946717     0.062713     1   1
1.063896     0.071939     1   2
1.331012     0.089779     1   3
1.291089     0.082918     1   4
1.233517     0.078855     1   5
1.013937     0.065352     1   6
1.036453     0.062778     1   7
1.021218     0.077368     1   8
1.054702     0.061483     1   9
1.074664     0.068191     1   10
1.204072     0.077362     1   11
1.381283     0.086932     1   12
1.225715     0.092106     1   13
1.261937     0.080323     1   14
1.072713     0.070796     1   15
0.669535     0.070409     2   1
1.042870     0.074373     2   2
1.222330     0.084838     2   3
0.991741     0.084988     2   4
0.929850     0.065122     2   5
0.696567     0.047191     2   6
0.624154     0.042145     2   7
0.510410     0.037870     2   8
0.587534     0.041505     2   9
0.649904     0.046146     2   10
0.988478     0.064913     2   11
1.143586     0.102240     2   12
1.427567     0.099567     2   13
0.992198     0.079332     2   14
0.849144     0.066671     2   15
1.254723     0.097038     3   1
1.301637     0.096770     3   2
1.580028     0.103731     3   3
1.143046     0.085267     3   4
0.801940     0.054503     3   5
0.582355     0.039696     3   6
0.498856     0.033795     3   7
0.400992     0.035347     3   8
0.412915     0.030068     3   9
0.555681     0.038196     3   10
0.789759     0.057766     3   11
1.280418     0.090715     3   12
1.315409     0.089989     3   13
1.025284     0.110743     3   14
1.201407     0.101009     3   15
1.270049     0.106850     4   1
1.541890     0.130022     4   2
2.007741     0.139498     4   3
1.216510     0.085313     4   4
0.730502     0.047511     4   5
0.415836     0.027915     4   6
0.333959     0.023068     4   7
0.338371     0.025286     4   8
0.342609     0.022835     4   9
0.487210     0.035300     4   10
0.833185     0.053757     4   11
1.417746     0.090465     4   12
2.030781     0.141414     4   13
1.794351     0.140867     4   14
1.310231     0.137589     4   15
1.438240     0.140430     5   1
2.432685     0.156169     5   2
3.101702     0.175140     5   3
2.491649     0.122367     5   4
0.803704     0.039382     5   5
0.417306     0.020093     5   6
0.268739     0.016579     5   7
0.261977     0.017343     5   8
0.317231     0.017736     5   9
0.383301     0.019065     5   10
0.833650     0.041086     5   11
2.515214     0.124372     5   12
3.015858     0.168976     5   13
2.746438     0.176330     5   14
1.544346     0.139519     5   15
