t_central,theta_cm,Q2,W,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.7,3.61614,2.67407,0.5324571536591515,0.04090331295280852,0.3540861658318588,0.019351611824536995,0.0834329310533742,0.0120581262447406,0.02709158215468384,0.02757021634218178
0.254,9.04,3.77487,2.63499,0.14556276914143454,0.030733386906775455,0.4071132980493055,0.01578234044157315,0.07288288524161239,0.00904879651241955,-0.06988960717899523,0.0210535682081546
0.291,10.98,3.84605,2.61756,0.1831036659603943,0.027228469373406776,0.3298735586349138,0.013836816652670792,0.05726451058472483,0.007935235166423773,-0.050891264547862296,0.017828907911003892
0.334,13.2,3.88661,2.60706,0.0739310450163387,0.02402379449321632,0.3396876755322649,0.013123352285779514,0.057745081000073466,0.007149558144776531,-0.04459090906813825,0.015436029244780368
0.429,17.43,3.93161,2.59707,0.10233791960156263,0.016398324096737048,0.23994528651772,0.00948835775622567,0.09558916639632851,0.006044758666996736,-0.04558338336467314,0.011143535068779414
