Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,14,312,336,0.9343674810777708,0.046097204119926745
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,15,336,360,1.128518439478386,0.052340771426183
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,1,0,24,1.1221417622661711,0.05002127784158408
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,2,24,48,0.9204131209333202,0.04265903826140392
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,3,48,72,0.9140835947299318,0.04637104220320257
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,4,72,96,0.6838258334186019,0.05352479426443186
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,5,96,120,0.8554604203875997,0.05338571345879843
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,6,120,144,0.7735075485965999,0.07190584425360845
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,7,144,168,0.9181952480298661,0.10827365316865618
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,8,168,192,0.8885474451538199,0.12832242050780088
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,9,192,216,0.9473390713154973,0.11906662264265418
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,10,216,240,0.8356103700246028,0.08480654994475809
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,11,240,264,0.7251489235450743,0.04858255287765974
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,12,264,288,0.7932711276367838,0.05305483579838114
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,13,288,312,0.8145817015158971,0.04412574206993358
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,14,312,336,0.9056696441113382,0.04195150380304752
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,15,336,360,0.9771812413610739,0.04821040830301254
