Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
6.5308e-08,4.9032e-09,6.5751e-08,0.78026,17.43,60.0,0.429,2.59707,3.93161
8.0611e-08,5.7109e-09,6.6142e-08,0.78026,17.43,84.0,0.429,2.59707,3.93161
6.9055e-08,4.949e-09,6.1502e-08,0.78026,17.43,108.0,0.429,2.59707,3.93161
6.8729e-08,5.6209e-09,5.3258e-08,0.78026,17.43,132.0,0.429,2.59707,3.93161
5.2303e-08,4.8803e-09,4.5432e-08,0.78026,17.43,156.0,0.429,2.59707,3.93161
3.9915e-08,4.8196e-09,4.2233e-08,0.78026,17.43,180.0,0.429,2.59707,3.93161
4.4155e-08,4.5892e-09,4.5432e-08,0.78026,17.43,204.0,0.429,2.59707,3.93161
6.3824e-08,5.1474e-09,5.3258e-08,0.78026,17.43,228.0,0.429,2.59707,3.93161
6.5541e-08,4.6886e-09,6.1502e-08,0.78026,17.43,252.0,0.429,2.59707,3.93161
6.7517e-08,4.86e-09,6.6142e-08,0.78026,17.43,276.0,0.429,2.59707,3.93161
6.7986e-08,5.0773e-09,6.5751e-08,0.78026,17.43,300.0,0.429,2.59707,3.93161
6.2913e-08,5.4044e-09,6.2159e-08,0.78026,17.43,324.0,0.429,2.59707,3.93161
5.9049e-08,6.1562e-09,5.8974e-08,0.78026,17.43,348.0,0.429,2.59707,3.93161
