Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
5.9438e-08,3.9794e-09,5.5451e-08,0.29498,13.2,228.0,0.334,2.60706,3.88661
5.6041e-08,3.9329e-09,5.9717e-08,0.29498,13.2,252.0,0.334,2.60706,3.88661
5.6964e-08,4.6686e-09,6.2572e-08,0.29498,13.2,276.0,0.334,2.60706,3.88661
6.4431e-08,5.9031e-09,6.3258e-08,0.29498,13.2,300.0,0.334,2.60706,3.88661
5.4704e-08,6.1387e-09,6.2403e-08,0.29498,13.2,324.0,0.334,2.60706,3.88661
5.7946e-08,8.0099e-09,6.1418e-08,0.29498,13.2,348.0,0.334,2.60706,3.88661
5.9697e-08,9.4789e-09,4.9634e-08,0.29533,17.43,12.0,0.429,2.59707,3.93161
5.6866e-08,7.7695e-09,5.0538e-08,0.29533,17.43,36.0,0.429,2.59707,3.93161
5.5995e-08,6.1828e-09,5.153e-08,0.29533,17.43,60.0,0.429,2.59707,3.93161
4.8034e-08,4.3425e-09,5.1207e-08,0.29533,17.43,84.0,0.429,2.59707,3.93161
4.1817e-08,3.3644e-09,4.8959e-08,0.29533,17.43,108.0,0.429,2.59707,3.93161
4.4829e-08,3.2023e-09,4.541e-08,0.29533,17.43,132.0,0.429,2.59707,3.93161
4.2512e-08,3.3944e-09,4.2157e-08,0.29533,17.43,156.0,0.429,2.59707,3.93161
4.3492e-08,3.305e-09,4.0843e-08,0.29533,17.43,180.0,0.429,2.59707,3.93161
4.5779e-08,3.4092e-09,4.2157e-08,0.29533,17.43,204.0,0.429,2.59707,3.93161
4.8345e-08,3.4291e-09,4.541e-08,0.29533,17.43,228.0,0.429,2.59707,3.93161
4.4363e-08,3.5561e-09,4.8959e-08,0.29533,17.43,252.0,0.429,2.59707,3.93161
4.5424e-08,4.4016e-09,5.1207e-08,0.29533,17.43,276.0,0.429,2.59707,3.93161
6.2194e-08,5.5612e-09,5.153e-08,0.29533,17.43,300.0,0.429,2.59707,3.93161
5.7617e-08,7.2106e-09,5.0538e-08,0.29533,17.43,324.0,0.429,2.59707,3.93161
7.642e-08,1.0623e-08,4.9533e-08,0.29533,17.43,348.0,0.429,2.59707,3.93161
