Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,5,96,120,41.0,0.020693053227223576,0.0032396535673370826,15.655754285090353
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,6,120,144,7.0,0.0038771089415116774,0.0014658127571672945,37.80684987912093
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,7,144,168,10.0,0.005420442599381153,0.001715585381852833,31.650282249067622
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,8,168,192,5.0,0.002613163874471967,0.0011694427257521666,44.75198578919862
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,9,192,216,4.0,0.0021725799461556664,0.0010865774993923751,50.013234326085474
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,10,216,240,9.0,0.004778897406011866,0.001593416034463706,33.34275459563506
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,11,240,264,31.0,0.015741278749707512,0.002832568646774391,17.99452694926086
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,12,264,288,273.0,0.11440942345329264,0.00698519828982548,6.10543963861261
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,13,288,312,1008.0,0.36118515170701,0.011541077422079108,3.1953355135266253
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,14,312,336,1227.0,0.39037195781875383,0.011458338163556602,2.9352359804688137
Q3p85_W2p62_t0p21_higheps_left,3,0.272,0.31,15,336,360,1375.0,0.40677816916421927,0.011443032596596214,2.8130891635869917
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,1,0,24,1921.0,0.45910706387019007,0.011316385589977577,2.4648685416822995
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,2,24,48,1889.0,0.5016991261651077,0.012279480705197968,2.4475786511848194
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,3,48,72,1533.0,0.47952260442112127,0.01267335777949734,2.6429114420573754
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,4,72,96,568.0,0.21922416169102105,0.009392600555026458,4.284473245364523
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,5,96,120,73.0,0.037608489900981625,0.0044262390649579325,11.769254965066818
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,6,120,144,12.0,0.007020225072974931,0.0020288614159892668,28.900233181975526
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,7,144,168,10.0,0.005981767981034207,0.0018950601808298425,31.680603240351683
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,8,168,192,3.0,0.0018793674155851174,0.0010866701977412295,57.821061955727714
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,9,192,216,3.0,0.0017208456077840613,0.000994965756182341,57.81842087876563
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,10,216,240,9.0,0.005302942021655781,0.001769932989631345,33.37643486207123
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,11,240,264,49.0,0.026082615329822194,0.003740632211116632,14.34147674155854
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,12,264,288,575.0,0.22389627758994446,0.0095194023601305,4.251701932072689
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,13,288,312,1424.0,0.4450552895455701,0.01217913687085759,2.7365446848847177
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,14,312,336,1829.0,0.4944430913694412,0.012257633491669672,2.479078726273664
Q3p85_W2p62_t0p21_higheps_left,4,0.31,0.358,15,336,360,1867.0,0.44922559327211625,0.011293288054010113,2.513945826583673
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,1,0,24,1796.0,0.3503550275401955,0.009679100314022117,2.7626548938024458
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,2,24,48,3353.0,0.6524972073210203,0.012738070361956207,1.9522030468536913
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,3,48,72,3905.0,0.9430991667898461,0.01612068995132144,1.7093313745778833
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,4,72,96,2032.0,0.6399837839805563,0.01471491627019999,2.2992639248882987
