Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.533581,0.001775,2.693181,0.000410,0.777341,0.000034,0.023349,0.000105
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.690823,0.002293,2.656320,0.000539,0.778258,0.000049,0.033242,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.776853,0.002274,2.635223,0.000541,0.778937,0.000046,0.039525,0.000109
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.859658,0.002202,2.615019,0.000532,0.779518,0.000042,0.046219,0.000102
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.972191,0.001633,2.587311,0.000399,0.780311,0.000028,0.058789,0.000080
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.606558,0.001660,2.674605,0.000395,0.778155,0.000034,0.020300,0.000092
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.795983,0.002134,2.629993,0.000513,0.779203,0.000041,0.026818,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.894659,0.002540,2.606078,0.000617,0.779820,0.000041,0.031611,0.000134
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.968872,0.002762,2.587986,0.000677,0.780276,0.000041,0.038046,0.000149
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,4.012962,0.002243,2.577573,0.000552,0.780467,0.000033,0.053527,0.000139
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.605318,0.003922,2.671560,0.000995,0.779005,0.000087,0.028458,0.000201
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.757914,0.002992,2.637429,0.000727,0.779386,0.000058,0.031602,0.000155
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.869885,0.002897,2.611159,0.000701,0.779879,0.000045,0.035716,0.000145
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.935973,0.002714,2.595631,0.000660,0.780135,0.000037,0.042605,0.000132
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.972676,0.001968,2.587480,0.000482,0.780182,0.000028,0.056156,0.000108
