Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,1.0306944970398184,0.0760317956125628
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,15,336,360,0.9943150978076739,0.09598895821837491
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,1,0,24,0.9003303246130684,0.08384437467566054
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,2,24,48,1.1175768553936247,0.06569689087473626
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,3,48,72,1.0744567820974167,0.05529760819415558
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,4,72,96,1.0240840779829283,0.04692590060251152
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,5,96,120,0.9321350452477732,0.0448282949270244
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,6,120,144,0.8624456340112027,0.041197687816679276
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,7,144,168,0.6920357887280344,0.04272288496511546
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,8,168,192,0.6901166469035557,0.04551063167679492
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,9,192,216,0.8163345012087738,0.045439689106646336
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,10,216,240,0.7993525769742117,0.03925419789016769
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,11,240,264,0.9572627269910027,0.04684478360294304
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,12,264,288,1.0513935769336455,0.04809885454725059
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,13,288,312,1.054710318914938,0.05350256699287821
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,14,312,336,1.2585608237327324,0.07193194233072317
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,15,336,360,1.0645181297599031,0.0858629249995032
