Xsection_real,Xsection_real_error,Xsection_model,epsilon,theta_cm,phi_central,t_central,W,Q2
5.7928e-08,3.8779e-09,5.3625e-08,0.29498,13.2,228.0,0.334,2.60706,3.88661
5.4897e-08,3.8519e-09,5.9413e-08,0.29498,13.2,252.0,0.334,2.60706,3.88661
5.6372e-08,4.6193e-09,6.5578e-08,0.29498,13.2,276.0,0.334,2.60706,3.88661
6.46e-08,5.9192e-09,7.0992e-08,0.29498,13.2,300.0,0.334,2.60706,3.88661
5.6309e-08,6.3225e-09,7.4894e-08,0.29498,13.2,324.0,0.334,2.60706,3.88661
6.1453e-08,8.4973e-09,7.6907e-08,0.29498,13.2,348.0,0.334,2.60706,3.88661
6.1594e-08,9.7899e-09,6.614e-08,0.29533,17.43,12.0,0.429,2.59707,3.93161
5.6606e-08,7.7371e-09,6.4689e-08,0.29533,17.43,36.0,0.429,2.59707,3.93161
5.3163e-08,5.8766e-09,6.156e-08,0.29533,17.43,60.0,0.429,2.59707,3.93161
4.5283e-08,4.0948e-09,5.6652e-08,0.29533,17.43,84.0,0.429,2.59707,3.93161
3.8354e-08,3.0923e-09,5.0436e-08,0.29533,17.43,108.0,0.429,2.59707,3.93161
3.9124e-08,2.8054e-09,4.4119e-08,0.29533,17.43,132.0,0.429,2.59707,3.93161
3.6811e-08,2.9411e-09,3.9353e-08,0.29533,17.43,156.0,0.429,2.59707,3.93161
3.7845e-08,2.8753e-09,3.7575e-08,0.29533,17.43,180.0,0.429,2.59707,3.93161
3.9694e-08,2.9587e-09,3.9353e-08,0.29533,17.43,204.0,0.429,2.59707,3.93161
4.2461e-08,3.0199e-09,4.4119e-08,0.29533,17.43,228.0,0.429,2.59707,3.93161
4.1309e-08,3.3027e-09,5.0436e-08,0.29533,17.43,252.0,0.429,2.59707,3.93161
4.3072e-08,4.175e-09,5.6652e-08,0.29533,17.43,276.0,0.429,2.59707,3.93161
5.9248e-08,5.297e-09,6.156e-08,0.29533,17.43,300.0,0.429,2.59707,3.93161
5.762e-08,7.2171e-09,6.4689e-08,0.29533,17.43,324.0,0.429,2.59707,3.93161
7.9564e-08,1.1059e-08,6.614e-08,0.29533,17.43,348.0,0.429,2.59707,3.93161
