t_central,theta_cm,Q2,W,sigma_L,sigma_L_err,sigma_T,sigma_T_err,sigma_LT,sigma_LT_err,sigma_TT,sigma_TT_err
0.198,5.7,3.61614,2.67407,0.4769319928148565,0.04023847655092111,0.37514043834011174,0.019283241115095693,0.08961967274205748,0.011976694000482634,0.03572602847344053,0.027143866681902915
0.254,9.04,3.77487,2.63499,0.11806273545958022,0.03011952875413267,0.41775338398476525,0.015612162771878347,0.083471819024802,0.009025665964550317,-0.0688656645006967,0.020675931579839716
0.291,10.98,3.84605,2.61756,0.1593557577711843,0.026739121952944773,0.3404689061394218,0.013708432806699145,0.06955926833121297,0.007911013627739301,-0.05511766521992792,0.017533357414179353
0.334,13.2,3.88661,2.60706,0.05537929908530889,0.0239006872969829,0.3478228403850692,0.013167688075475144,0.05920645601104696,0.007017291867569917,-0.05542748706525642,0.015189081079964044
0.429,17.43,3.93161,2.59707,0.07378797930360685,0.018584222009257766,0.26500457386532394,0.010968150006107557,0.057839876316020035,0.005545612989154494,-0.07534685306427716,0.011505351585802384
