Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.4562762423415686,0.02984294596823355
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.5018261530771715,0.03341677436271693
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.6186836233879659,0.041451297926790906
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.6066745203549392,0.03898609113905157
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.6494450880058125,0.04165859769107908
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.6065408941999707,0.03908072554477215
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,0.6748203880909902,0.04074170764985168
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.6726216001379453,0.05077135170409929
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.6794859364187605,0.03959688231617038
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.6401106708949653,0.040607745812637826
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.6311565245664688,0.04065699840019446
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,0.6637427631040316,0.04168951261315712
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.5682720724609502,0.042450291975239966
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.5913450512115743,0.03685372203302329
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.5142969848516933,0.03360782363407797
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.291840979363992,0.028663480347845216
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.3943792030017811,0.027387094319236548
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,0.47569987974132605,0.03247907936274725
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.46625609447700106,0.039862691666087004
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,0.5800763136934904,0.04058072808410777
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.5553937847178878,0.03750654759480009
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.5744090717220459,0.038446311518641765
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.49453073812111825,0.0361976747361686
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.5243107233350536,0.037180715897124954
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.5080821857980821,0.035981037787370454
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,0.608022088081606,0.03990980065309923
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,0.5387590446160183,0.04826954394066612
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,0.5578542621943336,0.03841369185343999
